         lexeme	    lineNo	 tokenName	valueIfNumber	parentNodeSymbol	isLeafNode	          nodeSymbol
       --------	  --------	  --------	  --------	<actual_para_list>	             NO	                   <aP00>	
              A	        34	        ID	  --------	     <aP0>	            YES	                       ID	
       --------	  --------	  --------	  --------	    <aP00>	             NO	                    <aP0>	
       --------	  --------	  --------	  --------	     <aP0>	             NO	                   <N_11>	
       --------	  --------	  --------	  --------	<moduleReuseStmt>	             NO	       <actual_para_list>	
              ,	        34	     COMMA	  --------	     <aP1>	            YES	                    COMMA	
       --------	  --------	  --------	  --------	<actual_para_list>	             NO	                    <aP1>	
       --------	  --------	  --------	  --------	    <aP00>	             NO	                   <sign>	
       --------	  --------	  --------	  --------	     <aP1>	             NO	                   <aP00>	
              k	        34	        ID	  --------	     <aP0>	            YES	                       ID	
       --------	  --------	  --------	  --------	    <aP00>	             NO	                    <aP0>	
       --------	  --------	  --------	  --------	     <aP0>	             NO	                   <N_11>	
       --------	  --------	  --------	  --------	     <aP1>	             NO	                    <aP1>	
              ;	        34	   SEMICOL	  --------	<moduleReuseStmt>	            YES	                  SEMICOL	
       --------	  --------	  --------	  --------	<statement>	             NO	             <simpleStmt>	
       --------	  --------	  --------	  --------	<statements>	             NO	              <statement>	
       --------	  --------	  --------	  --------	<statements>	             NO	             <statements>	
          print	        35	     PRINT	  --------	  <ioStmt>	            YES	                    PRINT	
